mean,lon,region,lat,system:index,sample_id
-0.16405572038918514,-78.95552,duke,36.051352,00000000000000000094,102
-0.24676437330055678,-78.964278,duke,36.044053,00000000000000000095,74
-0.18184386691749518,-78.960796,duke,35.90014,0000000000000000007c,107
-0.22914423645052623,-79.0105293319,duke,35.9766685633,00000000000000000080,101
-0.19450885221279704,-78.9477304369,duke,35.9955420671,00000000000000000085,110
-0.16261918027523226,-78.942688,duke,36.00164,00000000000000000076,68
-0.1922000591343986,-79.009271,duke,35.976537,00000000000000000081,69
-0.25124956541527554,-78.988176,duke,35.989584,00000000000000000087,92
-0.1440774871034711,-78.9546900988,duke,36.0088340146,00000000000000000000,100
-0.29219933308106116,-79.0114902332,duke,35.9767198436,0000000000000000007d,108
-0.22399654475158887,-78.992227,duke,35.986113,00000000000000000093,111
-0.2643590607474468,-78.9701248705,duke,36.0482808501,00000000000000000004,84
-0.2502545929570639,-78.9672596008,duke,36.0158700687,0000000000000000008b,98
-0.22041536771312717,-78.9667245,duke,36.01409077,00000000000000000088,93
-0.21851001649880517,-78.9465888217,duke,36.0011927408,00000000000000000079,91
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000066,66
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000067,70
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000068,97
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000069,79
-0.3826491560696001,-79.014674,duke,35.982532,0000000000000000006a,95
-0.3826491560696001,-79.014674,duke,35.982532,0000000000000000006b,63
-0.3826491560696001,-79.014674,duke,35.982532,0000000000000000006c,59
-0.3826491560696001,-79.014674,duke,35.982532,0000000000000000006d,64
-0.3826491560696001,-79.014674,duke,35.982532,0000000000000000006e,58
-0.3826491560696001,-79.014674,duke,35.982532,0000000000000000006f,87
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000070,105
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000071,55
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000072,80
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000073,106
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000074,88
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000075,86
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000061,109
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000062,78
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000063,90
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000064,73
-0.3826491560696001,-79.014674,duke,35.982532,00000000000000000065,67
-0.28917164381439825,-78.949928,duke,36.002446,00000000000000000083,103
-0.28917164381439825,-78.949928,duke,36.002446,00000000000000000084,81
-0.22422079415171814,-78.994432725,duke,35.9845845957,0000000000000000008e,56
-0.297769448792911,-79.027912,duke,36.032358,0000000000000000007f,75
-0.31376140880407766,-78.9984825253,duke,35.9811102886,0000000000000000007b,104
-0.34075790876211365,-79.0156446397,duke,35.9776119523,0000000000000000007e,77
-0.18060969222338913,-78.944274,duke,36.000135,00000000000000000078,82
-0.1772758978303537,-78.95473,duke,36.007412,0000000000000000008d,71
-0.2454789850741113,-78.9671734348,duke,36.0152430761,0000000000000000008c,99
-0.15678400711989737,-78.954719,duke,36.006292,00000000000000000091,94
