mean,lon,region,lat,system:index,sample_id
0.3156939598688543,-78.9577957615,duke,36.0184954104,0000000000000000008a,72
0.29469208592594226,-78.9663976058,duke,36.0117595424,00000000000000000092,60
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,0000000000000000000c,H316
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,0000000000000000000d,H317
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,0000000000000000000e,H303
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,0000000000000000000f,H294
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000010,H299
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000011,H312
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000012,H296
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,0000000000000000002e,H319
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,0000000000000000002f,H314
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000030,H315
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000031,H310
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000032,H305
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000033,H311
0.3331729120066735,-80.26282508895763,guelph,43.55096438521732,00000000000000000034,H332
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000001a,H182
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000001b,H186
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000001c,H181
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000001d,H180
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000001e,H185
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000001f,H190
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000003c,H184
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000003d,H191
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000003e,H178
0.37917882492644545,-80.23736007053623,guelph,43.525028039125935,0000000000000000003f,H176
