mean,area,ID_hormone,lon,lat,system:index
-0.3142867538406606,Durham,113,-78.968051,36.008659,00000000000000000077
-0.16405572038918514,Durham,102,-78.95552,36.051352,0000000000000000002e
-0.24676437330055678,Durham,74,-78.964278,36.044053,00000000000000000021
-0.18184386691749518,Durham,107,-78.960796,35.90014,0000000000000000004d
-0.22914423645052623,Durham,101,-79.0105293319,35.9766685633,0000000000000000001d
-0.19450885221279704,Durham,110,-78.9477304369,35.9955420671,0000000000000000004b
-0.16261918027523226,Durham,68,-78.942688,36.00164,0000000000000000004f
-0.1922000591343986,Durham,69,-79.009271,35.976537,000000000000000000bf
-0.25124956541527554,Durham,92,-78.988176,35.989584,0000000000000000001f
-0.26028625527380905,Durham,115,-78.941763,35.923553,00000000000000000079
-0.1440774871034711,Durham,100,-78.9546900988,36.0088340146,00000000000000000032
-0.29219933308106116,Durham,108,-79.0114902332,35.9767198436,00000000000000000019
-0.22399654475158887,Durham,111,-78.992227,35.986113,00000000000000000022
-0.18065732750653327,Durham,116,-78.954787,36.007553,0000000000000000007a
-0.26435906074744686,Durham,84,-78.9701248705,36.0482808501,00000000000000000020
-0.2502545929570639,Durham,98,-78.9672596008,36.0158700687,00000000000000000024
-0.22041536771312717,Durham,93,-78.9667245,36.01409077,0000000000000000002c
-0.21851001649880517,Durham,91,-78.9465888217,36.0011927408,00000000000000000033
-0.3826491560696001,Durham,55,-79.014674,35.982532,00000000000000000000
-0.3826491560696001,Durham,58,-79.014674,35.982532,00000000000000000001
-0.3826491560696001,Durham,59,-79.014674,35.982532,00000000000000000002
-0.3826491560696001,Durham,63,-79.014674,35.982532,00000000000000000003
-0.3826491560696001,Durham,64,-79.014674,35.982532,00000000000000000004
-0.3826491560696001,Durham,66,-79.014674,35.982532,00000000000000000005
-0.3826491560696001,Durham,67,-79.014674,35.982532,00000000000000000006
-0.3826491560696001,Durham,70,-79.014674,35.982532,00000000000000000007
-0.3826491560696001,Durham,73,-79.014674,35.982532,00000000000000000008
